userId,age,gender,genderLooking,country,continent,lang_count,lang_fr,lang_de,lastOnlineDate,lastOnlineRecency,counts_details,counts_pictures,counts_profileVisits,counts_kisses,flirtInterests,isMobile,isVip,verified,shareProfileEnabled,freetext,whazzup,freetext_len,whazzup_len,cluster_4,cluster_5
4e3842f79b70e7ea57000064,25,F,M,Switzerland,Europe,1,False,True,2015-04-25 20:43:26+00:00,7,1.0,4,8279.0,239,3,1,0,0,1,Nur tote Fisch schwimmen mit dem Strom,Nur tote fische schwimmen mit dem strom,38,39,0,0
4e3d34bf5d2bce7b160006a3,22,F,M,Switzerland,Europe,3,True,True,2015-04-26 09:19:35+00:00,7,0.85,5,663.0,13,3,1,0,0,1,null,Primaveraaa<3,0,13,2,2
4ec96c090dc82cb25d00000a,21,F,M,Switzerland,Europe,0,False,False,2015-04-06 14:24:07+00:00,26,0.0,4,1369.0,88,1,0,0,0,1,null,null,0,0,2,2
4eef8b81ebf2c8f64000000c,20,F,none,Canada,Americas,2,True,False,2015-04-07 11:21:01+00:00,25,0.12,3,22187.0,1015,2,0,0,0,1,null,Je pense donc je suis.  Instagram quedev,0,40,1,1
4f317525883fa9636900000e,23,F,M,Germany,Europe,2,False,True,2015-04-08 14:18:11+00:00,24,0.81,6,19091.0,1348,2,1,0,0,0,null,🌸🗻🌸,0,3,3,4
4fa0fb54883fa90e0d0005d6,24,F,M,Germany,Europe,2,False,True,2015-04-06 16:10:49+00:00,26,0.81,1,5979.0,147,3,0,0,0,1,null,:-),0,3,2,0
4fb4198f883fa90e04000031,22,F,M,France,Europe,1,False,True,2015-04-26 11:23:41+00:00,6,0.54,3,10450.0,421,2,1,0,0,1,null,live louder and laught longer ♡,0,31,0,3
4fc51294ca61be3762000155,20,F,both,Switzerland,Europe,1,False,True,2015-04-08 14:34:25+00:00,24,0.92,5,2612.0,117,2,1,0,0,1,null,kamehameha,0,10,2,0
500aef142d15de056f000480,22,F,M,Germany,Europe,1,False,True,2015-04-08 14:49:55+00:00,24,0.96,4,1710.0,116,1,1,0,0,1,null,"Live your life, before somewhere catch it!",0,42,2,0
500ebac6a9d0b30634000f91,21,F,M,Germany,Europe,1,False,True,2015-04-06 14:57:34+00:00,26,0.69,5,3041.3933585313175,1195,2,1,0,1,1,null,😁😁,0,2,3,4
501960390c84d34875000394,22,F,M,Germany,Europe,1,False,True,2015-04-25 04:36:43+00:00,8,1.0,2,20266.0,1148,3,1,0,0,0,null,✨🌸,0,2,3,1
501a62870c84d32d75000d89,20,F,M,Switzerland,Europe,1,False,True,2015-04-26 10:26:08+00:00,6,0.04,4,16683.0,647,1,1,0,1,1,null,️♡ Insta: lemejey,0,17,1,1
5038fbd96f37f3d14400004c,25,F,M,Switzerland,Europe,1,False,True,2015-04-25 18:11:13+00:00,7,0.92,7,3413.0,86,2,1,0,0,1,null,schreibt mir einfach!ich bin lieb!:-),0,37,2,2
503fc2b8a9d0b3b2480000a8,21,F,M,Switzerland,Europe,1,False,True,2015-04-08 15:09:19+00:00,24,0.62,1,25903.0,982,3,1,0,0,1,null,Deb.,0,4,1,1
5043944e6f37f35f6600002d,24,F,M,United States of America,Americas,4,True,True,2015-04-07 20:21:17+00:00,25,0.19,5,22847.0,1282,1,1,0,1,1,null,♪☆♪☆♪(｡-_-｡)♪☆♪☆ fuck off!!,0,27,3,4
5055c9d1ebf2c85e20000073,22,F,M,Switzerland,Europe,1,False,True,2015-04-06 11:59:59+00:00,26,0.88,9,15457.0,431,3,1,0,0,1,null,Fight for your dreams and never give up😛💪,0,41,0,3
